pair_id,chr,geneA,startA,endA,strandA,geneB,startB,endB,strandB,distance,species,no. of effective observations,BDP activity,,species,
1103,3,AT3G19210,6652695,6658988,-,AT3G19220,6659155,6660852,+,167,arabidopsis,22133,0.023519363,,,
1104,3,AT3G19230,6660800,6663558,-,AT3G19240,6664044,6667021,+,486,arabidopsis,17259,0.008097752,,,
1105,3,AT3G19300,6690118,6693380,-,AT3G19310,6694114,6696357,+,734,arabidopsis,10624,0.217031468,,,
1106,3,AT3G19553,6790731,6792988,-,AT3G19560,6793311,6794802,+,323,arabidopsis,1934,-0.222573692,,,
1107,3,AT3G19630,6818387,6820762,-,AT3G19640,6820926,6823467,+,164,arabidopsis,25241,0.396847045,,,
1108,3,AT3G19660,6825433,6826585,-,AT3G19663,6826664,6827153,+,79,arabidopsis,18705,0.560901933,,,
1109,3,AT3G19690,6842220,6842856,-,AT3G19700,6843662,6847275,+,806,arabidopsis,2253,0.487087895,,,
1110,3,AT3G19740,6855688,6863547,-,AT3G19760,6863661,6866646,+,114,arabidopsis,25469,-0.060684453,,,
1111,3,AT3G19790,6874603,6875911,-,AT3G19800,6876043,6877642,+,132,arabidopsis,23848,-0.094351004,,,
1112,3,AT3G19830,6884711,6890441,-,AT3G19840,6890988,6897510,+,547,arabidopsis,24834,0.440756657,,,
1113,3,AT3G20070,7004672,7006941,-,AT3G20080,7007869,7013694,+,928,arabidopsis,24155,0.287616239,,,
1114,3,AT3G20180,7043385,7044361,-,AT3G20190,7044711,7047423,+,350,arabidopsis,6695,0.429781371,,,
1115,3,AT3G20230,7055353,7056847,-,AT3G20240,7056903,7058950,+,56,arabidopsis,24508,0.448847577,,,
1116,3,AT3G20260,7063910,7066729,-,AT3G20270,7067057,7071039,+,328,arabidopsis,23050,-0.102676752,,,
1117,3,AT3G20395,7111934,7113899,-,AT3G20400,7114347,7114766,+,448,arabidopsis,4654,0.305157191,,,
1118,3,AT3G20420,7119191,7121023,-,AT3G20430,7121062,7123203,+,39,arabidopsis,22797,0.16676603,,,
1119,3,AT3G20580,7187699,7190648,-,AT3G20590,7191559,7192641,+,911,arabidopsis,4006,-0.273757887,,,
1120,3,AT3G20660,7225037,7228797,-,AT3G20670,7229390,7230146,+,593,arabidopsis,23679,0.017752099,,,
1121,3,AT3G20710,7237818,7239149,-,AT3G20720,7239896,7247030,+,747,arabidopsis,13710,-0.170684834,,,
1122,3,AT3G20920,7328576,7330751,-,AT3G20930,7331662,7334485,+,911,arabidopsis,24637,-0.12251006,,,
1123,3,AT3G21055,7376432,7377226,-,AT3G21060,7377391,7380213,+,165,arabidopsis,24773,-0.09640534,,,
1124,3,AT3G21110,7402477,7405674,-,AT3G21120,7406326,7407429,+,652,arabidopsis,1627,-0.018635923,,,
1125,3,AT3G21215,7441451,7445312,-,AT3G21220,7445604,7448498,+,292,arabidopsis,26036,0.142416474,,,
1126,3,AT3G21340,7511756,7516073,-,AT3G21350,7517070,7518777,+,997,arabidopsis,9454,-0.043338972,,,
1127,3,AT3G21740,7662186,7664098,-,AT3G21750,7664345,7666305,+,247,arabidopsis,24499,0.02189838,,,
1128,3,AT3G22170,7821997,7826196,-,AT3G22180,7827036,7830856,+,840,arabidopsis,24601,0.416437297,,,
1129,3,AT3G22320,7890803,7892349,-,AT3G22330,7892508,7895499,+,159,arabidopsis,25740,0.155377286,,,
1130,3,AT3G22421,7949106,7950440,-,AT3G22425,7951023,7953223,+,583,arabidopsis,2198,0.016422277,,,
1131,3,AT3G22500,7971625,7972907,-,AT3G22510,7973394,7974395,+,487,arabidopsis,1040,0.402357733,,,
1132,3,AT3G22580,8002762,8003145,-,AT3G22590,8003898,8005902,+,753,arabidopsis,2047,-0.086112313,,,
1133,3,AT3G22600,8006249,8007836,-,AT3G22620,8008534,8009590,+,698,arabidopsis,21236,0.787091755,,,
1134,3,AT3G22640,8011724,8013941,-,AT3G22650,8014809,8015960,+,868,arabidopsis,1691,-0.150823899,,,
1135,3,AT3G22660,8016051,8017508,-,AT3G22680,8017633,8020508,+,125,arabidopsis,24968,0.396542815,,,
1136,3,AT3G22770,8047684,8048667,-,AT3G22780,8048802,8052504,+,135,arabidopsis,10926,-0.046799926,,,
1137,3,AT3G22980,8160075,8163788,-,AT3G22990,8163941,8166350,+,153,arabidopsis,25378,0.350402869,,,
1138,3,AT3G23700,8531374,8533834,-,AT3G23710,8533848,8536541,+,14,arabidopsis,24244,0.22392815,,,
1139,3,AT3G23760,8562745,8564717,-,AT3G23770,8565494,8567496,+,777,arabidopsis,1674,0.06645779,,,
1140,3,AT3G23780,8567572,8574209,-,AT3G23790,8575051,8581331,+,842,arabidopsis,23811,0.265132756,,,
1141,3,AT3G23955,8655023,8657439,-,AT3G23960,8657736,8658980,+,297,arabidopsis,1365,0.48038724,,,
1142,3,AT3G23980,8662413,8668040,-,AT3G23990,8668772,8672578,+,732,arabidopsis,25494,0.209702018,,,
1143,3,AT3G24010,8675905,8678286,-,AT3G24020,8678678,8679656,+,392,arabidopsis,23983,-0.057415556,,,
1144,3,AT3G24068,8692191,8692676,-,AT3G24070,8693061,8694770,+,385,arabidopsis,4924,-0.159518242,,,
1145,3,AT3G24093,8701322,8702466,-,AT3G24100,8703220,8704311,+,754,arabidopsis,2839,0.201440749,,,
1146,3,AT3G24150,8724097,8725986,-,AT3G24160,8726056,8729427,+,70,arabidopsis,24945,-0.24594712,,,
1147,3,AT3G24320,8822924,8829728,-,AT3G24330,8830336,8831838,+,608,arabidopsis,7200,0.103899883,,,
1148,3,AT3G24730,9029758,9030894,-,AT3G24740,9031078,9033850,+,184,arabidopsis,24070,0.046062465,,,
1149,3,AT3G24820,9062354,9064476,-,AT3G24830,9064525,9066180,+,49,arabidopsis,24051,-0.185931318,,,
1150,3,AT3G24880,9085720,9096689,-,AT3G24890,9097391,9099073,+,702,arabidopsis,21892,-0.000565071,,,
1151,3,AT3G25011,9112961,9113518,-,AT3G25013,9113875,9116673,+,357,arabidopsis,17916,0.431824498,,,
1152,3,AT3G25120,9149528,9151334,-,AT3G25130,9152170,9153944,+,836,arabidopsis,23684,0.149088104,,,
1153,3,AT3G25460,9231581,9232666,-,AT3G25470,9232821,9235215,+,155,arabidopsis,1656,-0.355926314,,,
1154,3,AT3G25530,9271515,9273751,-,AT3G25540,9274335,9276685,+,584,arabidopsis,25192,0.450452217,,,
1155,3,AT3G25570,9287178,9289338,-,AT3G25573,9290253,9290810,+,915,arabidopsis,7764,0.094713322,,,
1156,3,AT3G25855,9459411,9460299,-,AT3G25860,9460433,9463013,+,134,arabidopsis,18427,-0.104829382,,,
1157,3,AT3G25930,9492765,9494302,-,AT3G25940,9494626,9496092,+,324,arabidopsis,12834,-0.003377724,,,
1158,3,AT3G25970,9500016,9502253,-,AT3G25980,9503056,9504680,+,803,arabidopsis,22210,0.542662557,,,
1159,3,AT3G26360,9655499,9656545,-,AT3G26370,9656680,9659945,+,135,arabidopsis,25199,0.208128538,,,
1160,3,AT3G26410,9669415,9671348,-,AT3G26430,9671517,9675927,+,169,arabidopsis,24697,0.188328357,,,
1161,3,AT3G26616,9787574,9788141,-,AT3G26618,9788231,9790451,+,90,arabidopsis,3411,-0.289761484,,,
1162,3,AT3G26630,9791267,9793023,-,AT3G26640,9793179,9794874,+,156,arabidopsis,25834,0.179242101,,,
1163,3,AT3G27220,10051069,10053761,-,AT3G27230,10053929,10055841,+,168,arabidopsis,24305,0.177638023,,,
1164,3,AT3G27310,10087106,10089260,-,AT3G27320,10090056,10092791,+,796,arabidopsis,25154,0.270480083,,,
1165,3,AT3G27330,10116674,10120645,-,AT3G27340,10121234,10123128,+,589,arabidopsis,24269,0.066575904,,,
1166,3,AT3G27416,10147371,10147892,-,AT3G27420,10148555,10150420,+,663,arabidopsis,7576,-0.117712916,,,
1167,3,AT3G27460,10159221,10162323,-,AT3G27470,10162960,10167546,+,637,arabidopsis,23963,0.422819907,,,
1168,3,AT3G27473,10169123,10172060,-,AT3G27475,10172279,10175581,+,219,arabidopsis,5914,0.488127756,,,
1169,3,AT3G27580,10217417,10220061,-,AT3G27590,10220326,10221857,+,265,arabidopsis,1306,-0.015025595,,,
1170,3,AT3G27630,10230892,10231567,-,AT3G27640,10232242,10235640,+,675,arabidopsis,19433,0.190719548,,,
1171,3,AT3G27680,10254886,10255290,-,AT3G27690,10255906,10257489,+,616,arabidopsis,1020,-0.040025722,,,
1172,3,AT3G27740,10281230,10283935,-,AT3G27750,10284808,10285874,+,873,arabidopsis,25567,0.365638989,,,
1173,3,AT3G27930,10369298,10372534,-,AT3G27940,10373251,10376480,+,717,arabidopsis,19058,0.006135964,,,
1174,3,AT3G28216,10523185,10523424,-,AT3G28220,10524181,10526733,+,757,arabidopsis,2002,-0.107223289,,,
1175,3,AT3G28330,10586566,10587759,-,AT3G28335,10588152,10589015,+,393,arabidopsis,1723,0.520586755,,,
1176,3,AT3G29170,11135951,11138010,-,AT3G29173,11138404,11139178,+,394,arabidopsis,17468,0.314020022,,,
1177,3,AT3G29305,11248672,11249491,-,AT3G29310,11249558,11251821,+,67,arabidopsis,1996,0.238794543,,,
1178,3,AT3G29637,11471115,11472130,-,AT3G29638,11473109,11475559,+,979,arabidopsis,1457,0.706004333,,,
1179,3,AT3G30300,11921096,11924617,-,AT3G30305,11924744,11926139,+,127,arabidopsis,10988,0.035318105,,,
1180,3,AT3G32920,13484403,13489243,-,AT3G32930,13489249,13490906,+,6,arabidopsis,12671,-0.094956707,,,
1181,3,AT3G33528,14082640,14084346,-,AT3G33530,14085248,14093670,+,902,arabidopsis,9547,-0.169349618,,,
1182,3,AT3G44010,15799481,15801227,-,AT3G44020,15801372,15802855,+,145,arabidopsis,23675,0.107631523,,,
1183,3,AT3G44400,16044662,16049803,-,AT3G44405,16049942,16051241,+,139,arabidopsis,5311,0.14116619,,,
1184,3,AT3G44485,16096477,16097400,-,AT3G44490,16097479,16098599,+,79,arabidopsis,1876,0.541811674,,,
1185,3,AT3G45040,16472538,16475830,-,AT3G45050,16475957,16477524,+,127,arabidopsis,24773,-0.124810922,,,
1186,3,AT3G45860,16863088,16866261,-,AT3G45870,16867033,16868926,+,772,arabidopsis,14873,-0.141405239,,,
1187,3,AT3G46030,16913384,16914131,-,AT3G46040,16914525,16915837,+,394,arabidopsis,26117,0.606503625,,,
1188,3,AT3G46100,16928158,16931053,-,AT3G46110,16931991,16933909,+,938,arabidopsis,24011,0.074754974,,,
1189,3,AT3G46150,16949531,16950145,-,AT3G46160,16950955,16952136,+,810,arabidopsis,3129,0.1185541,,,
1190,3,AT3G46210,16976631,16978923,-,AT3G46220,16979048,16984177,+,125,arabidopsis,24284,0.327880115,,,
1191,3,AT3G46550,17136346,17138259,-,AT3G46560,17138476,17139582,+,217,arabidopsis,25438,0.011976368,,,
1192,3,AT3G46630,17180678,17182560,-,AT3G46640,17183042,17186959,+,482,arabidopsis,25395,0.13689022,,,
1193,3,AT3G46740,17215813,17219411,-,AT3G46750,17219741,17221772,+,330,arabidopsis,2878,-0.307430529,,,
1194,3,AT3G46845,17254395,17255802,-,AT3G46850,17256338,17259462,+,536,arabidopsis,1203,0.020057945,,,
1195,3,AT3G46920,17280430,17285048,-,AT3G46930,17285565,17288077,+,517,arabidopsis,23991,0.39676401,,,
1196,3,AT3G46940,17288134,17289006,-,AT3G46950,17289369,17290963,+,363,arabidopsis,25258,0.418274528,,,
1197,3,AT3G47090,17341235,17344762,-,AT3G47100,17345570,17346106,+,808,arabidopsis,19104,0.320967592,,,
1198,3,AT3G47120,17350898,17352853,-,AT3G47130,17353714,17355086,+,861,arabidopsis,6299,0.187285617,,,
1199,3,AT3G47450,17483068,17486347,-,AT3G47460,17486490,17493395,+,143,arabidopsis,23327,0.071138435,,,
1200,3,AT3G47480,17496085,17497164,-,AT3G47490,17498148,17501006,+,984,arabidopsis,23500,0.153405765,,,
1201,3,AT3G47560,17525476,17527162,-,AT3G47570,17527507,17531041,+,345,arabidopsis,23671,0.311379042,,,
1202,3,AT3G48010,17721137,17724140,-,AT3G48020,17724400,17725198,+,260,arabidopsis,10343,0.007548283,,,
1203,3,AT3G48150,17779507,17782682,-,AT3G48160,17783331,17786160,+,649,arabidopsis,22108,0.661261595,,,
1204,3,AT3G48344,17902088,17902872,-,AT3G48346,17902972,17903751,+,100,arabidopsis,5357,0.8477877,,,
1205,3,AT3G48700,18038648,18039879,-,AT3G48710,18040675,18044368,+,796,arabidopsis,21532,0.076805907,,,
1206,3,AT3G48800,18095442,18096891,-,AT3G48810,18097010,18099721,+,119,arabidopsis,23888,0.249812636,,,
1207,3,AT3G48820,18099712,18102941,-,AT3G48830,18103141,18106460,+,200,arabidopsis,22359,0.36708421,,,
1208,3,AT3G48850,18114526,18116569,-,AT3G48860,18117237,18122812,+,668,arabidopsis,16844,0.105765504,,,
1209,3,AT3G48870,18122118,18126742,-,AT3G48880,18126788,18129251,+,46,arabidopsis,24612,-0.07373886,,,
1210,3,AT3G49010,18166708,18168700,-,AT3G49020,18169079,18170660,+,379,arabidopsis,1733,0.108016275,,,
1211,3,AT3G49142,18215788,18217884,-,AT3G49150,18218858,18220430,+,974,arabidopsis,1272,-0.003964189,,,
1212,3,AT3G49170,18226827,18229610,-,AT3G49180,18229747,18232004,+,137,arabidopsis,23635,0.527906225,,,
1213,3,AT3G49320,18288172,18290672,-,AT3G49330,18291339,18292267,+,667,arabidopsis,20741,0.11009663,,,
1214,3,AT3G49400,18319060,18324624,-,AT3G49410,18324705,18329350,+,81,arabidopsis,20743,0.355507619,,,
1215,3,AT3G49500,18348974,18353673,-,AT3G49510,18353891,18355057,+,218,arabidopsis,23498,0.263775441,,,
1216,3,AT3G49530,18362443,18364959,-,AT3G49540,18365678,18366666,+,719,arabidopsis,8132,0.089621978,,,
1217,3,AT3G49990,18532301,18534415,-,AT3G50000,18534450,18537073,+,35,arabidopsis,25745,-0.056124429,,,
1218,3,AT3G50420,18710871,18713649,-,AT3G50430,18713676,18717409,+,27,arabidopsis,22654,0.369082462,,,
1219,3,AT3G50960,18938697,18940428,-,AT3G50970,18940643,18941611,+,215,arabidopsis,23363,0.196685543,,,
1220,3,AT3G51040,18952073,18953801,-,AT3G51050,18953842,18957963,+,41,arabidopsis,25255,0.196053163,,,
1221,3,AT3G51230,19023064,19024352,-,AT3G51240,19025192,19026872,+,840,arabidopsis,21067,0.290974544,,,
1222,3,AT3G51320,19049543,19051647,-,AT3G51325,19051829,19053259,+,182,arabidopsis,21580,0.011938518,,,
1223,3,AT3G51380,19074036,19074815,-,AT3G51390,19075544,19078120,+,729,arabidopsis,18278,-0.045994328,,,
1224,3,AT3G51470,19097722,19099849,-,AT3G51480,19100676,19104844,+,827,arabidopsis,22983,0.362817256,,,
1225,3,AT3G51490,19104885,19107797,-,AT3G51500,19108080,19108917,+,283,arabidopsis,19766,-0.113462017,,,
1226,3,AT3G51530,19112694,19114643,-,AT3G51540,19115184,19117461,+,541,arabidopsis,18943,0.026206397,,,
1227,3,AT3G51560,19121687,19125913,-,AT3G51570,19126329,19130705,+,416,arabidopsis,6019,0.662535974,,,
1228,3,AT3G51644,19158153,19158495,-,AT3G51650,19158851,19163222,+,356,arabidopsis,4887,-0.110584215,,,
1229,3,AT3G51800,19210914,19213776,-,AT3G51810,19214722,19215831,+,946,arabidopsis,7191,0.049354828,,,
1230,3,AT3G51820,19215930,19219128,-,AT3G51830,19220116,19225280,+,988,arabidopsis,24761,-0.057568842,,,
1231,3,AT3G51960,19282390,19284210,-,AT3G51970,19284339,19285582,+,129,arabidopsis,22553,0.366045213,,,
1232,3,AT3G51980,19285572,19287552,-,AT3G51990,19287757,19289388,+,205,arabidopsis,25334,0.320572353,,,
1233,3,AT3G52040,19304170,19304861,-,AT3G52050,19304886,19309651,+,25,arabidopsis,24571,0.035569204,,,
1234,3,AT3G52060,19310531,19312281,-,AT3G52070,19312718,19313466,+,437,arabidopsis,3837,-0.106130248,,,
1235,3,AT3G52090,19317737,19319123,-,AT3G52100,19319223,19322985,+,100,arabidopsis,25111,-0.155156013,,,
1236,3,AT3G52110,19323750,19325895,-,AT3G52115,19326035,19328379,+,140,arabidopsis,22748,0.480949241,,,
1237,3,AT3G52130,19332011,19332597,-,AT3G52140,19332828,19341739,+,231,arabidopsis,7523,-0.1537112,,,
1238,3,AT3G52220,19369362,19371074,-,AT3G52230,19371135,19372687,+,61,arabidopsis,25953,0.245628976,,,
1239,3,AT3G52240,19372634,19375960,-,AT3G52250,19376138,19383369,+,178,arabidopsis,25527,0.459819931,,,
1240,3,AT3G52820,19573916,19577141,-,AT3G52830,19578005,19578265,+,864,arabidopsis,2248,0.126796179,,,
1241,3,AT3G52941,19633330,19633473,-,AT3G52950,19634331,19636845,+,858,arabidopsis,1328,-0.153497332,,,
1242,3,AT3G53020,19660488,19662025,-,AT3G53030,19662195,19664553,+,170,arabidopsis,25424,-0.417680914,,,
1243,3,AT3G53100,19684686,19686984,-,AT3G53110,19687740,19690661,+,756,arabidopsis,24730,-0.079570916,,,
1244,3,AT3G53120,19690571,19692578,-,AT3G53130,19692757,19697542,+,179,arabidopsis,24143,-0.180229867,,,
1245,3,AT3G53170,19704106,19706536,-,AT3G53180,19706820,19711460,+,284,arabidopsis,23351,0.131244857,,,
1246,3,AT3G53200,19718253,19719507,-,AT3G53210,19720077,19721903,+,570,arabidopsis,7259,0.146786089,,,
1247,3,AT3G53380,19789038,19791695,-,AT3G53390,19792466,19796807,+,771,arabidopsis,24612,0.123170801,,,
1248,3,AT3G53430,19809313,19810520,-,AT3G53440,19810655,19812713,+,135,arabidopsis,25866,-0.124636424,,,
1249,3,AT3G53570,19861177,19864588,-,AT3G53580,19864631,19867134,+,43,arabidopsis,25272,-0.076287771,,,
1250,3,AT3G53640,19887007,19888935,-,AT3G53650,19889297,19890251,+,362,arabidopsis,4163,0.207713265,,,
1251,3,AT3G53690,19898788,19900235,-,AT3G53700,19900240,19903173,+,5,arabidopsis,21411,-0.034396565,,,
1252,3,AT3G53740,19913651,19915066,-,AT3G53750,19915257,19917775,+,191,arabidopsis,25328,-0.049123073,,,
1253,3,AT3G53760,19917788,19922512,-,AT3G53770,19923304,19924113,+,792,arabidopsis,2170,-0.037454814,,,
1254,3,AT3G53860,19949557,19951350,-,AT3G53870,19951424,19953018,+,74,arabidopsis,23780,-0.241464344,,,
1255,3,AT3G54085,20026581,20027991,-,AT3G54090,20028052,20030055,+,61,arabidopsis,23350,0.070460858,,,
1256,3,AT3G54100,20033951,20038200,-,AT3G54110,20038670,20041210,+,470,arabidopsis,25221,0.107741861,,,
1257,3,AT3G54150,20050564,20052931,-,AT3G54160,20053020,20055309,+,89,arabidopsis,19086,0.06049556,,,
1258,3,AT3G54480,20170654,20173530,-,AT3G54490,20173605,20175462,+,75,arabidopsis,9032,0.140366129,,,
1259,3,AT3G54500,20175370,20179070,-,AT3G54510,20180007,20183588,+,937,arabidopsis,17853,0.188306323,,,
1260,3,AT3G54700,20248214,20250948,-,AT3G54710,20251812,20254323,+,864,arabidopsis,7588,0.15837887,,,
1261,3,AT3G54790,20281535,20285290,-,AT3G54800,20286070,20290268,+,780,arabidopsis,5585,-0.079122774,,,
1262,3,AT3G54860,20324088,20330030,-,AT3G54870,20330680,20336866,+,650,arabidopsis,17743,0.198693666,,,
1263,3,AT3G54970,20368127,20370131,-,AT3G54980,20370205,20374261,+,74,arabidopsis,24224,0.493354898,,,
1264,3,AT3G55170,20452910,20454530,-,AT3G55180,20454746,20456843,+,216,arabidopsis,4490,-0.003593976,,,
1265,3,AT3G55220,20466676,20471171,-,AT3G55230,20471787,20472946,+,616,arabidopsis,18909,-0.101695816,,,
1266,3,AT3G55330,20513739,20515392,-,AT3G55340,20515630,20518059,+,238,arabidopsis,23758,-0.197063472,,,
1267,3,AT3G55530,20595126,20597603,-,AT3G55540,20598218,20599614,+,615,arabidopsis,1552,-0.069704434,,,
1268,3,AT3G55810,20711705,20713236,-,AT3G55820,20713709,20714825,+,473,arabidopsis,2146,-0.058165699,,,
1269,3,AT3G55900,20742166,20742653,-,AT3G55910,20742676,20743479,+,23,arabidopsis,17369,0.803853515,,,
1270,3,AT3G55935,20746554,20746975,-,AT3G55940,20747629,20750408,+,654,arabidopsis,4088,0.209660978,,,
1271,3,AT3G56020,20790502,20791163,-,AT3G56030,20791173,20792532,+,10,arabidopsis,25193,-0.04933318,,,
1272,3,AT3G56110,20820135,20823106,-,AT3G56120,20823146,20826543,+,40,arabidopsis,24814,0.025326792,,,
1273,3,AT3G56160,20837365,20841734,-,AT3G56170,20842145,20844537,+,411,arabidopsis,23439,-0.205080123,,,
1274,3,AT3G56260,20867970,20869024,-,AT3G56270,20870000,20872107,+,976,arabidopsis,24075,0.300457566,,,
1275,3,AT3G56290,20878446,20879783,-,AT3G56300,20880016,20882366,+,233,arabidopsis,21629,0.147644238,,,
1276,3,AT3G56320,20885894,20890102,-,AT3G56330,20890235,20892002,+,133,arabidopsis,22794,0.082278649,,,
1277,3,AT3G56350,20893946,20895634,-,AT3G56360,20896332,20897747,+,698,arabidopsis,6281,-0.363017619,,,
1278,3,AT3G56430,20923334,20925912,-,AT3G56440,20926001,20928993,+,89,arabidopsis,23781,0.178009166,,,
1279,3,AT3G56460,20932791,20934540,-,AT3G56470,20934597,20936436,+,57,arabidopsis,23768,-0.091567607,,,
1280,3,AT3G56770,21028902,21030754,-,AT3G56780,21031303,21033403,+,549,arabidopsis,10645,0.284060239,,,
1281,3,AT3G56860,21048727,21052320,-,AT3G56870,21052434,21055721,+,114,arabidopsis,23500,-0.03884134,,,
1282,3,AT3G56910,21069411,21070356,-,AT3G56920,21070558,21072878,+,202,arabidopsis,6180,-0.103868891,,,
1283,3,AT3G56950,21078297,21079925,-,AT3G56960,21079957,21084420,+,32,arabidopsis,23856,-0.010015456,,,
1284,3,AT3G56990,21088027,21092169,-,AT3G57000,21092183,21094297,+,14,arabidopsis,24759,0.60650999,,,
1285,3,AT3G57060,21114798,21121160,-,AT3G57062,21121323,21122569,+,163,arabidopsis,23666,-0.130263072,,,
1286,3,AT3G57100,21133013,21134482,-,AT3G57110,21134776,21135532,+,294,arabidopsis,12366,0.301035166,,,
1287,3,AT3G57210,21172827,21174172,-,AT3G57220,21174395,21177194,+,223,arabidopsis,9593,0.00067822,,,
1288,3,AT3G57270,21191237,21193189,-,AT3G57280,21193680,21195790,+,491,arabidopsis,5544,0.108922609,,,
1289,3,AT3G57350,21220387,21225424,-,AT3G57360,21225540,21227039,+,116,arabidopsis,22351,0.443679768,,,
1290,3,AT3G57430,21255557,21258488,-,AT3G57440,21258646,21260675,+,158,arabidopsis,14111,0.043511583,,,
1291,3,AT3G57490,21279596,21281064,-,AT3G57500,21281804,21282591,+,740,arabidopsis,21171,0.374006779,,,
1292,3,AT3G57560,21310825,21312378,-,AT3G57570,21312498,21320481,+,120,arabidopsis,24933,-0.124565079,,,
1293,3,AT3G57610,21334191,21336720,-,AT3G57620,21337533,21339301,+,813,arabidopsis,4073,-0.122357981,,,
1294,3,AT3G57730,21389854,21391614,-,AT3G57740,21392501,21393972,+,887,arabidopsis,16721,0.114213049,,,
1295,3,AT3G57900,21442281,21442574,-,AT3G57910,21442642,21446183,+,68,arabidopsis,1504,0.267483896,,,
1296,3,AT3G57930,21446856,21448842,-,AT3G57940,21449254,21456026,+,412,arabidopsis,24641,0.152007966,,,
1297,3,AT3G58470,21626671,21628569,-,AT3G58480,21629072,21632116,+,503,arabidopsis,8286,-0.085411286,,,
1298,3,AT3G58500,21635162,21639136,-,AT3G58510,21639978,21643795,+,842,arabidopsis,25887,0.041184997,,,
1299,3,AT3G58600,21668515,21671292,-,AT3G58610,21671433,21675090,+,141,arabidopsis,25729,-0.309214958,,,
1300,3,AT3G58750,21724306,21728137,-,AT3G58760,21728144,21732086,+,7,arabidopsis,25224,0.209573869,,,
1301,3,AT3G58990,21797058,21798303,-,AT3G59000,21799248,21801804,+,945,arabidopsis,23594,-0.095897739,,,
1302,3,AT3G59250,21901570,21903284,-,AT3G59260,21903839,21905188,+,555,arabidopsis,2397,-0.007219278,,,
1303,3,AT3G59280,21908429,21910738,-,AT3G59290,21911501,21917860,+,763,arabidopsis,25486,-0.138108718,,,
1304,3,AT3G59340,21928692,21931570,-,AT3G59350,21932337,21935231,+,767,arabidopsis,11101,0.069576661,,,
1305,3,AT3G59490,21984596,21986351,-,AT3G59500,21986463,21988326,+,112,arabidopsis,24369,0.353361502,,,
1306,3,AT3G59540,21995610,21996840,-,AT3G59550,21997052,22000737,+,212,arabidopsis,22101,-0.031888383,,,
1307,3,AT3G59630,22025003,22028523,-,AT3G59640,22028649,22030505,+,126,arabidopsis,24669,0.361689444,,,
1308,3,AT3G59660,22034171,22038709,-,AT3G59670,22039476,22042726,+,767,arabidopsis,24739,0.000624688,,,
1309,3,AT3G59770,22078972,22086236,-,AT3G59780,22086333,22090529,+,97,arabidopsis,25244,0.137346224,,,
1310,3,AT3G59950,22144280,22147712,-,AT3G59960,22148189,22150583,+,477,arabidopsis,1680,-0.424109523,,,
1311,3,AT3G60070,22183243,22186657,-,AT3G60080,22187275,22188934,+,618,arabidopsis,23941,0.2427078,,,
1312,3,AT3G60190,22244169,22247976,-,AT3G60200,22248892,22250568,+,916,arabidopsis,25424,-0.104546322,,,
1313,3,AT3G60480,22347451,22348351,-,AT3G60490,22349308,22350458,+,957,arabidopsis,22390,0.125394754,,,
1314,3,AT3G60740,22447245,22453521,-,AT3G60750,22453668,22457458,+,147,arabidopsis,25004,-0.140367764,,,
1315,3,AT3G60770,22460189,22461779,-,AT3G60780,22462613,22463833,+,834,arabidopsis,6390,0.124376508,,,
1316,3,AT3G60800,22467114,22469623,-,AT3G60810,22470519,22471906,+,896,arabidopsis,24740,0.021365506,,,
1317,3,AT3G60820,22471769,22473971,-,AT3G60830,22473983,22476445,+,12,arabidopsis,25041,0.098443271,,,
1318,3,AT3G60840,22477573,22480980,-,AT3G60850,22481879,22484250,+,899,arabidopsis,21989,0.038023085,,,
1319,3,AT3G60900,22499292,22501239,-,AT3G60910,22501544,22503372,+,305,arabidopsis,22692,-0.072543487,,,
1320,3,AT3G61070,22604094,22606878,-,AT3G61080,22607099,22609169,+,221,arabidopsis,24322,-0.163698647,,,
1321,3,AT3G61100,22610329,22611321,-,AT3G61110,22611521,22612905,+,200,arabidopsis,24340,0.206522884,,,
1322,3,AT3G61230,22664425,22665690,-,AT3G61240,22666147,22669757,+,457,arabidopsis,4754,-0.209947829,,,
1323,3,AT3G61310,22687610,22693150,-,AT3G61320,22693421,22695754,+,271,arabidopsis,23979,0.333676494,,,
1324,3,AT3G61340,22701034,22702530,-,AT3G61350,22702632,22704481,+,102,arabidopsis,14014,0.134424484,,,
1325,3,AT3G61360,22704304,22706141,-,AT3G61370,22706242,22708509,+,101,arabidopsis,24191,0.450021452,,,
1326,3,AT3G61620,22801215,22804104,-,AT3G61630,22804998,22806527,+,894,arabidopsis,24526,-0.034072667,,,
1327,3,AT3G61650,22812082,22815216,-,AT3G61660,22815989,22816663,+,773,arabidopsis,17310,0.313427681,,,
1328,3,AT3G61760,22860298,22864229,-,AT3G61770,22864543,22866567,+,314,arabidopsis,22785,-0.087661614,,,
1329,3,AT3G61829,22887191,22887322,-,AT3G61830,22887889,22891455,+,567,arabidopsis,1271,-0.15209921,,,
1330,3,AT3G61860,22900050,22902395,-,AT3G61870,22902491,22904137,+,96,arabidopsis,25184,-0.192850279,,,
1331,3,AT3G62020,22971358,22972303,-,AT3G62030,22973004,22975378,+,701,arabidopsis,24836,-0.079688768,,,
1332,3,AT3G62120,23001030,23004392,-,AT3G62130,23004788,23007006,+,396,arabidopsis,25594,0.19305257,,,
